radical	strokeCount	meaningReading	frequency	joyoKanjiFreq	examples	group
糸 (糹)	6	{{nihongo|thread, string|いと|ito}}	823	49	系 級 紙 素 細 組 終 絵 紫	Top 50%
缶	6	{{nihongo|can, earthenware jar|かん|kan}}	77		缶 缸 窑 陶	
罒 (网,罓,⺲,⺳)	5	{{nihongo|net|あみがしら|amigashira|網頭}}	163		買 置 羅	
羊 (⺶,⺷)	6	{{nihongo|sheep|ひつじ|hitsuji}}	156		着 羚 翔 着	
羽	6	{{nihongo|feather, wing|はね|hane}}	220		習 翀 翁 翔	
耂 (老,⺹)	4	{{nihongo|old|ろう|rō}}	22		耆孝耋	
而	6	{{nihongo|rake, beard|しかして|shikashite}}	22		耎耐耑	
耒	6	{{nihongo|plow|らいすき|raisuki}}	84		耔 耝 耨 耰	
耳	6	{{nihongo|ear|みみ|mimi}}	172		取 聞 職 叢	
聿 (⺻<!--肀-->)	6	{{nihongo|brush|ふでづくり|fudezukuri|聿旁}}	19		律 書 建	
肉 (⺼,月)	6	{{nihongo|meat|にく|niku}}	674		肉 肖 股 胃 腅 脤	Top 50% (月)
臣	7	{{nihongo|minister, official|しん|shin}}	16		臥 宦 蔵	
自	6	{{nihongo|oneself|みずから|mizukara}}	34		自 臫 臬 臲	
至	6	{{nihongo|arrive|いたる|itaru}}	24		致 臸 臺	
臼	6	{{nihongo|mortar|うす|usu}}	71		桕 舅 舂 鼠 插	
舌	6	{{nihongo|tongue|した|shita}}	31		乱 适 話 舍	
舛	7	{{nihongo|opposite|ます|masu}}	10		舛 舜 舞	
舟	6	{{nihongo|boat|ふね|fune}}	197		航 船 艦	
艮	6	{{nihongo|stopping|うしとら|ushitora|丑寅}}	5		良 飲 很	
色	6	{{nihongo|colour, prettiness|いろ|iro}}	21		色 艴 艷	
艹 (艸,䒑)	3	{{nihongo|grass, vegetation|くさ|kusa|草}}	1,902		共 花(37) 英 苦 草 茶 落 幕 靴 鞄 薬	Top 50%
虍	6	{{nihongo|tiger stripes|とらかんむり|torakanmuri|虎冠}}	114		虎 虐 彪 虒	
虫	6	{{nihongo|insect|むし|mushi}}	1,067		蚯 蚓 強 触 蟻 蟹	
血	6	{{nihongo|blood|ち|chi}}	60		洫 衁 衅 衆	
行	6	{{nihongo|go, do|ぎょう|gyō}}	53		行 衍 術 衝	
衣 (衤)	6	{{nihongo|clothes|ころも|koromo}}	607		衣 装 裁 (初 被 複)	
西 (襾,覀)	6	{{nihongo|west|にし|nishi}}	29		西 要 覊	
見	7	{{nihongo|see|みる|miru}}	161		規 親 覺 觀	
角	7	{{nihongo|horn|つの|tsuno}}	158		觚 解 觕 觥 觸	
言 (訁)	7	{{nihongo|speech|こと|koto}}	861	54	誁 詋 詔 評 詗 詥 試 詧	Top 50%
谷	7	{{nihongo|valley|たに|tani}}	54		谿 豀 谸	
豆	7	{{nihongo|bean|まめ|mame}}	68		豈 豐 豎	
豕	7	{{nihongo|pig|いのこ|inoko|猪子}}	148		豕 豚 象	
豸	7	{{nihongo|cat, badger|むじな|mujina|狢}}	140		豹 貌 貓 貉	
貝	7	{{nihongo|shell|かい|kai}}	277	32	財 賊 賜 贛 貧 貨 貫 貿	Top 50%
赤	7	{{nihongo|red, bare|あか|aka}}	31		赫 赭	
走 (赱)	7	{{nihongo|run|はしる|hashiru}}	285		赴 起 超	
足 (⻊)	7	{{nihongo|foot|あし|ashi}}	580		跑 跨 跟 跪 路	
身	7	{{nihongo|body|み|mi}}	97		躬 躲 軀	
車	7	{{nihongo|cart, car|くるま|kuruma}}	361		軌 軟 較 軍 載	
辛	7	{{nihongo|spicy, bitter|からい|karai}}	36		辜 辟 辣 辦 辨	
辰	7	{{nihongo|morning|しんのたつ|shinnotatsu|辰のたつ}}	15		辱 農	
⻌ (辵,辶)	3	{{nihongo|walk|しんにゅう|shinnyū|之繞}}	381	38	巡 迎 通 追 逃 迎 進	Top 50%
邑 (⻏, [[阝]])	3	{{nihongo|town (阝 right)|むら|mura}}	350	30	那 邦 郎 部 郭 都 鄉	Top 50% (阝)
酉	7	{{nihongo|sake|とり|tori}}	290		酒　醉 油 醒 酸	Top 75%
釆	7	{{nihongo|divide, distinguish, choose|のごめ|nogome|ノ米}}	14		釉 釋	
里	7	{{nihongo|village, mile|さと|sato}}	14		野 野	
金 (釒)	8	{{nihongo|metal, gold|かね|kane}}	806		銀 銅 釘 銳 鋞 鋙 鉒 鉍 鉗 鈡 鈠	Top 50%
長 (镸)	8	{{nihongo|long, grow; leader|ながい; ちょう|nagai; chō}}	55		長	
門	8	{{nihongo|gate|もん|mon}}	246		間 閑 関 闘 閉 開 閏 間 	
阜 (⻖, [[阝]])	3	{{nihongo|mound, dam (阝 left)|ぎふのふ|gifunofu|岐阜の阜}}	348	30	阪 防 阻 陆 陘 院 险 陳	Top 50% (阝)
隶	8	{{nihongo|slave, capture|れいづくり|reidzukuri|隷旁}}	12		隸 隺	
隹	8	{{nihongo|old bird|ふるとり|furutori|古鳥}}	233		雀 集 雁 难 雀 雅	
雨 (⻗)	8	{{nihongo|rain|あめ|ame}}	298		雾 霜 雪 霸 雲 霧	Top 75%
青 (靑)	8	{{nihongo|green, blue|あお|ao}}	17		靕 靖 靜	
非	8	{{nihongo|wrong|あらず|arazu}}	25		靠 靠 靟	
面 (靣)	9	{{nihongo|face|めん|men}}	66		靦 靨	
革	9	{{nihongo|leather, rawhide|かくのかわ|kakunokawa}}	305		靴 鞍 鞅 鞍 鞭	
韋	9	{{nihongo|tanned leather|なめしがわ|nameshigawa}}	100		韋 韓 韜	
韭	9	{{nihongo|leek|にら|nira}}	20		韱 韲	
音	9	{{nihongo|sound|おと|oto}}	43		韶 韻 韾	
頁	9	{{nihongo|big shell|おおがい|ōgai|大貝}}	372		頃 項 順 須 領 頭 頩 頂	
風 (𠘨)	9	{{nihongo|wind|かぜ|kaze}}	182		風 颱 飄 颿 颪	
飛	9	{{nihongo|fly|とぶ|tobu}}	92		飜 飝	
食 (飠, 𩙿)	9	{{nihongo|eat, food|しょく|shoku}}	403		飯 飲 餓 餘 餐 養	
首	9	{{nihongo|neck, head|くび|kubi}}	20		馗 馘	
香	9	{{nihongo|fragrant|においこう|nioikō}}	37		馨	
馬	10	{{nihongo|horse|うま|uma}}	472		馮 馴 馳 駐 驚	
骨	10	{{nihongo|bone|ほね|hone}}	185		骼 髒 髀 骿 骾	
高 (髙)	10	{{nihongo|tall, high|たかい|takai}}	34		髚 髛	
髟	10	{{nihongo|hair|かみがしら|kamigashira|髪頭}}	243		髮 鬚 鬆 鬍 髦	
鬥	10	{{nihongo|fight|とうがまえ|tōgamae|闘構}}	23		鬧 鬪	
鬯	10	{{nihongo|herbs, sacrificial wine|ちょう|chō}}	8		鬰 鬱	
鬲	10	{{nihongo|tripod, cauldron|かなえ|kanae}}	73		鬶 鬷 鬸	
鬼	10	{{nihongo|ghost, demon|おに|oni}}	141		魂 魁 鬽 魄	
魚	11	{{nihongo|fish|うお|uo}}	571		鯉 鮑 魛 魜 魝 魞 魟 魠	
鳥	11	{{nihongo|bird|とり|tori}}	750		鳫 鳮 鳱 鳳 鳴 鳿 雞 鳴 鴻 鴛	
鹵	11	{{nihongo|salt|ろ|ro}}	44		鹹 鹼 鹽	
鹿	11	{{nihongo|deer|しか|shika}}	104		塵 麃 麋 麉 麟	
麦 (麥)	7	{{nihongo|wheat|むぎ|mugi|麦}}	131		麴 麵 麱 麨 麺	
麻	11	{{nihongo|hemp, flax|あさ|asa}}	34		麼 魔	
黄 (黃)	11	{{nihongo|yellow|きいろ|kīro|黄色}}	42		黊 黌	
黍	12	{{nihongo|millet|きび|kibi}}	46		黏 黎	
黒 (黑)	11	{{nihongo|black|くろ|kuro}}	172		點 黛 黱 黨	
黹	12	{{nihongo|embroidery, needlework|ふつ|futsu|黻}}	8		黼 黻	
黽	13	{{nihongo|frog, amphibian|べん|ben}}	40		黿 鼈	
鼎	13	{{nihongo|sacrificial tripod|かなえ|kanae}}	14		鼏 鼒	
鼓	13	{{nihongo|drum|つづみ|tsudzumi}}	46		鼗 鼘	
鼠	13	{{nihongo|rat, mouse|ねずみ|nezumi}}	92		鼢 鼣 鼤	
鼻	14	{{nihongo|nose|はな|hana}}	49		鼼 鼽 鼿	
齊	14	{{nihongo|even, uniformly|せい|sei|斉}}	18		齋 齏 齏	
歯 (齒)	12	{{nihongo|tooth, molar|は|ha}}	162		齡 齠 齗	
竜 (龍)	10	{{nihongo|dragon|りゅう|ryū}}	14		龖 龘	
亀 (龜)	11	{{nihongo|turtle, tortoise|かめ|kame}}	24		龝	
龠	17	{{nihongo|flute|やく|yaku}}	19		龣	
